Station Name,Latitude,Longitude
A00676,46.95530064,-122.5389604
A00677,46.95524697,-122.5258183
A00678,46.95519179,-122.5126763
A00679,46.9551351,-122.4995343
A00680,46.9550769,-122.4863923
A00681,46.95501719,-122.4732504
A00682,46.95495598,-122.4601086
A00683,46.95489325,-122.4469667
A00684,46.95482902,-122.433825
A00685,46.95476328,-122.4206832
A00686,46.95469604,-122.4075415
A00687,46.95462728,-122.3943999
A00688,46.95455702,-122.3812583
A00689,46.95448524,-122.3681168
A00690,46.95441196,-122.3549753
A00691,46.95433717,-122.3418339
A00692,46.95426088,-122.3286925
A00693,46.95418307,-122.3155511
A00694,46.95410376,-122.3024099
A00695,46.95402294,-122.2892687
A00696,46.95394061,-122.2761275
A00697,46.95385677,-122.2629864
A00698,46.95377142,-122.2498454
A00699,46.95368457,-122.2367044
A00700,46.95359621,-122.2235635
A00701,46.95350634,-122.2104226
A00702,46.95341496,-122.1972818
A00703,46.95332207,-122.1841411
A00704,46.95322768,-122.1710004
A00705,46.95313178,-122.1578598
A00706,46.95303437,-122.1447193
A00707,46.95293545,-122.1315788
A00708,46.95283502,-122.1184385
A00709,46.95273309,-122.1052981
A00710,46.95262965,-122.0921579
A00711,46.9525247,-122.0790177
A00712,46.95241824,-122.0658776
A00713,46.95231028,-122.0527376
A00714,46.9522008,-122.0395977
A00715,46.95208982,-122.0264578
A00716,46.95197734,-122.013318
A00717,46.95186334,-122.0001783
A00718,46.95174784,-121.9870387
A00719,46.95163083,-121.9738991
A00720,46.95151231,-121.9607597
A00721,46.95139228,-121.9476203
A00722,46.95127075,-121.934481
A00723,46.9511477,-121.9213418
A00724,46.95102316,-121.9082027
A00725,46.9508971,-121.8950636
A00726,46.95076953,-121.8819247
A00727,46.95064046,-121.8687858
A00728,46.95050988,-121.8556471
A00729,46.9503778,-121.8425084
A00730,46.9502442,-121.8293698
A00731,46.9501091,-121.8162313
A00732,46.94997249,-121.803093
A00733,46.94983438,-121.7899547
A00734,46.94969476,-121.7768165
A00735,46.94955363,-121.7636784
A00736,46.94941099,-121.7505404
A00737,46.94926684,-121.7374025
A00738,46.94912119,-121.7242647
A00739,46.94897403,-121.711127
A00740,46.94882537,-121.6979894
A00741,46.94867519,-121.6848519
A00742,46.94852351,-121.6717146
A00743,46.94837033,-121.6585773
A00744,46.94821563,-121.6454401
A00745,46.94805943,-121.6323031
A00746,46.94790172,-121.6191662
A00747,46.94774251,-121.6060293
A00748,46.94758179,-121.5928926
A00749,46.94741956,-121.579756
A00750,46.94725583,-121.5666195
A00751,46.94709058,-121.5534832
A00752,46.94692383,-121.5403469
A00753,46.94675558,-121.5272108
A00754,46.94658582,-121.5140747
A00755,46.94641455,-121.5009388
A00756,46.94624177,-121.4878031
A00757,46.94606749,-121.4746674
A00758,46.94589171,-121.4615319
A00759,46.94571441,-121.4483965
A00760,46.94553561,-121.4352612
A00761,46.9453553,-121.422126
A00762,46.94517349,-121.408991
A00763,46.94499017,-121.3958561
A00764,46.94480534,-121.3827213
A00765,46.94461901,-121.3695867
A00766,46.94443117,-121.3564522
A00767,46.94424183,-121.3433178
A00768,46.94405098,-121.3301836
A00769,46.94385862,-121.3170495
A00770,46.94366476,-121.3039155
A00771,46.94346939,-121.2907816
A00772,46.94327251,-121.2776479
A00773,46.94307413,-121.2645144
A00774,46.94287425,-121.251381
A00775,46.94267286,-121.2382477
